cpu_user,cpu_system,cpu_idle,loadavg_1min,loadavg_5min,loadavg_15min,cpu_freq,cpu_temp,mem_total,mem_free,mem_used_pct,swap_total,swap_free,swap_used_pct,disk_read,disk_write,network_rx,network_tx
1.9,0.1,97.9,0.890625,0.3857421875,0.146484375,525.017875,34.0,33426321408,30276075520,9.4,8589930496,8589930496,0.0,1539233792,135009280,2346147,881775
5.6,2.3,92.0,0.890625,0.3857421875,0.146484375,890.262125,34.0,33426321408,30316277760,9.3,8589930496,8589930496,0.0,1539233792,135009280,2346275,881959
4.3,1.5,93.8,0.8994140625,0.39599609375,0.1513671875,775.09425,34.0,33426321408,30334689280,9.2,8589930496,8589930496,0.0,1539233792,135078912,2348829,885523
28.4,4.3,66.7,1.14794921875,0.4560546875,0.17236328125,2100.503625,39.0,33426321408,30271930368,9.4,8589930496,8589930496,0.0,1539876864,135554048,2350442,890226
5.1,2.9,91.7,1.14794921875,0.4560546875,0.17236328125,749.99725,34.0,33426321408,30243328000,9.5,8589930496,8589930496,0.0,1541281792,135721984,2352041,929167
10.3,3.3,86.1,1.21630859375,0.48193359375,0.1826171875,1637.5115,35.0,33426321408,30230069248,9.6,8589930496,8589930496,0.0,1541306368,135730176,2352535,932186
22.5,7.4,69.6,1.21630859375,0.48193359375,0.1826171875,800.0106250000001,36.0,33426321408,30224588800,9.6,8589930496,8589930496,0.0,1541306368,135803904,2353741,936058
1.9,0.3,97.9,1.279296875,0.50732421875,0.1923828125,625.650875,34.0,33426321408,30177439744,9.7,8589930496,8589930496,0.0,1541306368,135951360,2354473,941177
5.8,0.3,93.9,1.33740234375,0.5322265625,0.2021484375,500.009,34.0,33426321408,30211276800,9.6,8589930496,8589930496,0.0,1541306368,136160256,2357340,946005
0.8,0.3,98.9,1.33740234375,0.5322265625,0.2021484375,462.50075,33.0,33426321408,30229409792,9.6,8589930496,8589930496,0.0,1541568512,136303616,2358088,949121
0.6,0.3,98.9,1.470703125,0.5732421875,0.21728515625,450.72475,34.0,33426321408,30239641600,9.5,8589930496,8589930496,0.0,1541568512,136565760,2358900,952544
1.4,1.0,97.6,1.3525390625,0.5634765625,0.2158203125,525.009625,33.0,33426321408,30242062336,9.5,8589930496,8589930496,0.0,1541568512,136565760,2359736,956389
0.9,0.5,98.5,1.3525390625,0.5634765625,0.2158203125,525.00225,33.0,33426321408,30225145856,9.6,8589930496,8589930496,0.0,1541568512,136586240,2360134,959064
1.3,0.5,98.1,1.244140625,0.5537109375,0.21435546875,450.00350000000003,33.0,33426321408,30212755456,9.6,8589930496,8589930496,0.0,1541715968,136774656,2362434,964687
0.8,0.3,98.9,1.244140625,0.5537109375,0.21435546875,711.28,33.0,33426321408,30195666944,9.7,8589930496,8589930496,0.0,1541715968,136848384,2363301,968153
0.6,0.3,99.1,1.22412109375,0.5615234375,0.21875,774.069125,33.0,33426321408,30205009920,9.6,8589930496,8589930496,0.0,1541715968,136848384,2363597,970729
2.4,1.6,95.7,1.1259765625,0.5517578125,0.21728515625,600.040375,33.0,33426321408,30198669312,9.7,8589930496,8589930496,0.0,1541715968,136942592,2368478,977201
0.8,0.1,99.1,1.1259765625,0.5517578125,0.21728515625,500.0085,33.0,33426321408,30184611840,9.7,8589930496,8589930496,0.0,1541715968,136967168,2368968,980173
1.1,0.5,98.4,1.11572265625,0.5595703125,0.2216796875,550.0074999999999,33.0,33426321408,30172749824,9.7,8589930496,8589930496,0.0,1541715968,137049088,2369730,983494
0.8,0.3,99.0,1.11572265625,0.5595703125,0.2216796875,400.0,34.0,33426321408,30223286272,9.6,8589930496,8589930496,0.0,1541715968,140334080,2370556,986910
1.6,0.5,97.8,1.1064453125,0.56689453125,0.22607421875,650.04875,33.0,33426321408,30213578752,9.6,8589930496,8589930496,0.0,1541715968,140362752,2371820,991443
1.6,1.4,96.9,1.017578125,0.55712890625,0.224609375,775.073,34.0,33426321408,30199549952,9.7,8589930496,8589930496,0.0,1541715968,140379136,2373282,996168
0.6,0.1,99.2,1.017578125,0.55712890625,0.224609375,587.475125,32.0,33426321408,30217814016,9.6,8589930496,8589930496,0.0,1541715968,140379136,2373710,999012
1.0,0.4,98.6,0.93603515625,0.5478515625,0.22314453125,500.00625,33.0,33426321408,30196011008,9.7,8589930496,8589930496,0.0,1541715968,140395520,2374443,1002307
0.8,0.3,99.0,0.86083984375,0.53857421875,0.2216796875,450.00775,33.0,33426321408,30199267328,9.7,8589930496,8589930496,0.0,1541715968,140403712,2374957,1005307
0.8,0.3,99.0,0.86083984375,0.53857421875,0.2216796875,457.1575,33.0,33426321408,30209212416,9.6,8589930496,8589930496,0.0,1541715968,140420096,2375421,1008111
2.1,1.4,96.2,0.8720703125,0.54638671875,0.22607421875,500.00124999999997,33.0,33426321408,30196322304,9.7,8589930496,8589930496,0.0,1541720064,140481536,2376248,1011179
0.9,0.1,99.0,0.8720703125,0.54638671875,0.22607421875,400.0,33.0,33426321408,30235283456,9.5,8589930496,8589930496,0.0,1541720064,140608512,2376738,1014152
1.0,0.4,98.4,0.96240234375,0.57080078125,0.23583984375,627.1575,33.0,33426321408,30232756224,9.6,8589930496,8589930496,0.0,1541720064,140665856,2379195,1018315
1.3,0.5,98.2,0.88525390625,0.56103515625,0.234375,587.459875,33.0,33426321408,30223523840,9.6,8589930496,8589930496,0.0,1541720064,140784640,2380815,1023303
0.5,0.3,99.1,0.88525390625,0.56103515625,0.234375,525.012125,32.0,33426321408,30206509056,9.6,8589930496,8589930496,0.0,1541720064,140940288,2381617,1026777
2.1,1.1,96.7,1.0546875,0.6015625,0.24951171875,756.091625,33.0,33426321408,30207451136,9.6,8589930496,8589930496,0.0,1541720064,140940288,2382147,1029997
2.0,0.8,97.1,1.0546875,0.6015625,0.24951171875,712.5654999999999,33.0,33426321408,30205829120,9.6,8589930496,8589930496,0.0,1541720064,140964864,2382571,1032841
0.6,0.4,99.0,0.97021484375,0.59130859375,0.248046875,450.00225,33.0,33426321408,30209642496,9.6,8589930496,8589930496,0.0,1541720064,140964864,2383218,1035823
0.6,0.3,99.1,0.89208984375,0.5810546875,0.24658203125,502.101625,33.0,33426321408,30200311808,9.7,8589930496,8589930496,0.0,1541720064,140973056,2383646,1038667
0.6,0.1,99.1,0.89208984375,0.5810546875,0.24658203125,453.788375,32.0,33426321408,30237241344,9.5,8589930496,8589930496,0.0,1541720064,140989440,2384008,1041244
2.6,1.5,95.5,0.8203125,0.5712890625,0.2451171875,576.59425,32.0,33426321408,30248546304,9.5,8589930496,8589930496,0.0,1541720064,141014016,2384808,1044520
0.9,0.3,98.9,0.75439453125,0.5615234375,0.24365234375,525.006875,33.0,33426321408,30218596352,9.6,8589930496,8589930496,0.0,1541720064,141014016,2385100,1047296
0.9,0.4,98.7,0.75439453125,0.5615234375,0.24365234375,451.275625,32.0,33426321408,30228033536,9.6,8589930496,8589930496,0.0,1541720064,141038592,2387021,1053508
0.8,0.3,99.0,0.69384765625,0.5517578125,0.2421875,460.437875,33.0,33426321408,30216527872,9.6,8589930496,8589930496,0.0,1541720064,141038592,2387313,1056088
0.8,0.1,99.1,0.69384765625,0.5517578125,0.2421875,600.0039999999999,32.0,33426321408,30217023488,9.6,8589930496,8589930496,0.0,1541720064,141128704,2387629,1058646
2.3,1.4,96.1,0.71875,0.5595703125,0.24658203125,750.029125,33.0,33426321408,30211231744,9.6,8589930496,8589930496,0.0,1541720064,141145088,2388124,1061449
0.8,0.3,99.0,0.6611328125,0.5498046875,0.2451171875,454.208625,32.0,33426321408,30197788672,9.7,8589930496,8589930496,0.0,1541720064,141157376,2388350,1064202
0.9,0.2,98.8,0.6611328125,0.5498046875,0.2451171875,507.652125,32.0,33426321408,30203703296,9.6,8589930496,8589930496,0.0,1541720064,141194240,2388642,1066988
0.8,0.4,98.9,0.60791015625,0.54052734375,0.24365234375,455.905125,33.0,33426321408,30193745920,9.7,8589930496,8589930496,0.0,1541720064,141202432,2388974,1069574
0.6,0.3,99.1,0.60791015625,0.54052734375,0.24365234375,508.59112500000003,33.0,33426321408,30198919168,9.7,8589930496,8589930496,0.0,1541720064,141218816,2389535,1072665
2.1,1.5,96.4,0.55908203125,0.53125,0.2421875,450.006125,33.0,33426321408,30176722944,9.7,8589930496,8589930496,0.0,1541720064,141362176,2389959,1075510
0.8,0.3,99.0,0.51416015625,0.52197265625,0.24072265625,500.008125,33.0,33426321408,30255718400,9.5,8589930496,8589930496,0.0,1541720064,141362176,2391077,1078487
0.9,0.4,98.7,0.51416015625,0.52197265625,0.24072265625,816.9884999999999,33.0,33426321408,30232055808,9.6,8589930496,8589930496,0.0,1541720064,141419520,2393824,1083168
1.1,0.3,98.5,0.47265625,0.51318359375,0.2392578125,650.06575,33.0,33426321408,30204321792,9.6,8589930496,8589930496,0.0,1541720064,141440000,2394314,1086141
0.8,0.3,99.0,0.4345703125,0.50439453125,0.23779296875,575.044125,32.0,33426321408,30199390208,9.7,8589930496,8589930496,0.0,1541720064,141452288,2394780,1088856
2.0,1.0,97.0,0.4345703125,0.50439453125,0.23779296875,600.111125,32.0,33426321408,30200213504,9.7,8589930496,8589930496,0.0,1541720064,141542400,2395072,1091630
0.9,0.3,98.9,0.3994140625,0.49560546875,0.236328125,449.993125,32.0,33426321408,30188380160,9.7,8589930496,8589930496,0.0,1541720064,141542400,2395657,1094399
1.1,0.3,98.6,0.3994140625,0.49560546875,0.236328125,456.15250000000003,32.0,33426321408,30205423616,9.6,8589930496,8589930496,0.0,1541720064,141566976,2396224,1097695
1.3,1.1,97.5,0.3671875,0.4873046875,0.23486328125,900.039625,32.0,33426321408,30187196416,9.7,8589930496,8589930496,0.0,1541720064,141583360,2396652,1100539
