cpu_user,cpu_system,cpu_idle,loadavg_1min,loadavg_5min,loadavg_15min,cpu_freq,cpu_temp,mem_total,mem_free,mem_used_pct,swap_total,swap_free,swap_used_pct,disk_read,disk_write,network_rx,network_tx
13.1,3.6,81.8,2.53515625,1.91357421875,1.6533203125,800.0338750000001,48.0,33426329600,28192935936,15.7,8589930496,8589930496,0.0,3405347840,2534765568,1244830732,40359721
13.8,5.3,78.9,2.33203125,1.88134765625,1.64404296875,3200.578625,49.0,33426329600,28256677888,15.5,8589930496,8589930496,0.0,3405347840,2542269440,1245840636,40386614
12.4,3.9,82.1,2.33203125,1.88134765625,1.64404296875,800.185875,48.0,33426329600,28260519936,15.5,8589930496,8589930496,0.0,3405347840,2542269440,1247436374,40430374
13.4,4.8,80.3,2.22509765625,1.86669921875,1.64013671875,800.0275,48.0,33426329600,28286173184,15.4,8589930496,8589930496,0.0,3405347840,2542380032,1249189141,40475026
14.9,4.7,78.7,2.22509765625,1.86669921875,1.64013671875,800.007125,48.0,33426329600,28288012288,15.4,8589930496,8589930496,0.0,3405347840,2542380032,1250752134,40521971
13.3,3.6,81.4,2.28759765625,1.8857421875,1.6474609375,1200.2016250000001,49.0,33426329600,28276445184,15.4,8589930496,8589930496,0.0,3405347840,2543383552,1252096059,40572138
11.9,4.6,81.5,2.5048828125,1.9375,1.66552734375,1000.019375,48.0,33426329600,28271366144,15.4,8589930496,8589930496,0.0,3405347840,2543428608,1253048451,40628806
13.4,4.4,80.5,2.5048828125,1.9375,1.66552734375,996.8325,48.0,33426329600,28279488512,15.4,8589930496,8589930496,0.0,3405347840,2543698944,1254000659,40678271
12.7,4.4,81.2,2.544921875,1.95556640625,1.6728515625,800.038125,48.0,33426329600,28298616832,15.3,8589930496,8589930496,0.0,3405347840,2544006144,1254006128,40689860
11.8,4.0,82.8,2.544921875,1.95556640625,1.6728515625,1000.312875,49.0,33426329600,28294283264,15.4,8589930496,8589930496,0.0,3405347840,2546848768,1254588852,40718379
12.9,4.6,80.9,2.3408203125,1.9228515625,1.66357421875,900.16825,48.0,33426329600,28294332416,15.4,8589930496,8589930496,0.0,3405347840,2546979840,1254595507,40730271
11.4,4.9,81.7,2.2333984375,1.9072265625,1.65966796875,900.0344999999999,48.0,33426329600,28267753472,15.4,8589930496,8589930496,0.0,3405347840,2547278848,1254601092,40735514
13.8,4.4,79.7,2.2333984375,1.9072265625,1.65966796875,799.928125,48.0,33426329600,28271845376,15.4,8589930496,8589930496,0.0,3405347840,2547897344,1257147822,40810854
13.8,4.2,80.1,2.375,1.9423828125,1.67236328125,799.9583749999999,48.0,33426329600,28260741120,15.5,8589930496,8589930496,0.0,3405347840,2548638720,1257818136,40834825
12.2,5.2,80.4,2.2646484375,1.92626953125,1.66845703125,999.9805,48.0,33426329600,28259635200,15.5,8589930496,8589930496,0.0,3405347840,2549154816,1258498429,40859443
12.9,4.4,80.4,2.2646484375,1.92626953125,1.66845703125,800.1075000000001,49.0,33426329600,28267257856,15.4,8589930496,8589930496,0.0,3405347840,2549154816,1259325466,40884595
11.7,4.7,80.9,2.32373046875,1.9443359375,1.67578125,2549.087875,49.0,33426329600,28258353152,15.5,8589930496,8589930496,0.0,3405347840,2549216256,1260014027,40909156
13.1,4.3,79.1,2.32373046875,1.9443359375,1.67578125,1000.0131250000001,49.0,33426329600,28259491840,15.5,8589930496,8589930496,0.0,3405347840,2550600704,1261111447,40950460
12.8,4.0,81.1,2.4580078125,1.978515625,1.6884765625,800.01525,49.0,33426329600,28177879040,15.7,8589930496,8589930496,0.0,3405347840,2551305216,1270334431,41148983
11.7,4.4,82.6,2.3408203125,1.9619140625,1.6845703125,800.004625,48.0,33426329600,28216610816,15.6,8589930496,8589930496,0.0,3405347840,2552222720,1270342929,41162187
13.6,4.3,80.7,2.3408203125,1.9619140625,1.6845703125,900.0835000000001,47.0,33426329600,28233916416,15.5,8589930496,8589930496,0.0,3405347840,2552763392,1270347110,41167779
14.8,5.6,77.7,2.2333984375,1.94580078125,1.6806640625,4190.019374999999,53.0,33426329600,28166492160,15.7,8589930496,8589930496,0.0,3405347840,2553406464,1278637738,41299197
12.5,4.4,81.6,2.2333984375,1.94580078125,1.6806640625,799.9535000000001,48.0,33426329600,28204838912,15.6,8589930496,8589930496,0.0,3405347840,2554835968,1278641946,41305857
14.0,4.1,80.5,2.05419921875,1.9130859375,1.67138671875,1499.722625,49.0,33426329600,28245409792,15.5,8589930496,8589930496,0.0,3405347840,2554991616,1278642938,41310843
13.8,6.7,77.2,1.8896484375,1.880859375,1.662109375,1000.043625,49.0,33426329600,28306198528,15.3,8589930496,8589930496,0.0,3405347840,2565596160,1284231260,41393198
14.0,4.9,79.6,1.8896484375,1.880859375,1.662109375,799.9791250000001,48.0,33426329600,28218781696,15.6,8589930496,8589930496,0.0,3405347840,2567275520,1287148701,41452983
14.0,4.1,80.2,1.818359375,1.8662109375,1.658203125,800.214625,50.0,33426329600,28246745088,15.5,8589930496,8589930496,0.0,3405347840,2574881792,1287152611,41459157
12.8,3.8,81.9,1.818359375,1.8662109375,1.658203125,1200.1638749999997,48.0,33426329600,28254302208,15.5,8589930496,8589930496,0.0,3405347840,2574943232,1287154965,41465036
14.5,5.5,78.2,2.7939453125,2.06787109375,1.724609375,800.11875,48.0,33426329600,28259348480,15.5,8589930496,8589930496,0.0,3405347840,2576155648,1291705349,41564118
13.8,5.6,78.7,2.72998046875,2.06640625,1.7265625,800.134625,48.0,33426329600,28279664640,15.4,8589930496,8589930496,0.0,3405347840,2576593920,1293086511,41601438
14.2,4.8,79.3,2.72998046875,2.06640625,1.7265625,799.9085,48.0,33426329600,28268023808,15.4,8589930496,8589930496,0.0,3405347840,2577224704,1294732313,41649884
15.3,5.0,77.8,2.9921875,2.1318359375,1.75,800.004375,50.0,33426329600,28189835264,15.7,8589930496,8589930496,0.0,3405347840,2578215936,1297267516,41706225
15.0,4.1,79.5,2.75244140625,2.09619140625,1.740234375,800.0413749999999,49.0,33426329600,28172775424,15.7,8589930496,8589930496,0.0,3405347840,2579194880,1299918179,41764438
15.2,4.0,79.6,2.75244140625,2.09619140625,1.740234375,1200.002875,49.0,33426329600,28262649856,15.4,8589930496,8589930496,0.0,3405347840,2579559424,1299919360,41769490
13.6,4.6,79.6,2.53173828125,2.06103515625,1.73046875,800.152875,49.0,33426329600,28246167552,15.5,8589930496,8589930496,0.0,3405347840,2595873792,1299923849,41774999
14.0,4.7,79.3,2.53173828125,2.06103515625,1.73046875,799.9170000000001,48.0,33426329600,28243869696,15.5,8589930496,8589930496,0.0,3405347840,2596742144,1302365347,41823965
13.4,4.4,79.9,2.6494140625,2.09326171875,1.74267578125,800.050875,48.0,33426329600,28243443712,15.5,8589930496,8589930496,0.0,3405347840,2604196864,1303616766,41861225
13.7,5.0,79.5,2.7578125,2.125,1.7548828125,800.091125,49.0,33426329600,28197666816,15.6,8589930496,8589930496,0.0,3405347840,2604774400,1304154176,41878988
