cpu_user,cpu_system,cpu_idle,loadavg_1min,loadavg_5min,loadavg_15min,cpu_freq,cpu_temp,mem_total,mem_free,mem_used_pct,swap_total,swap_free,swap_used_pct,disk_read,disk_write,network_rx,network_tx
5.4,2.2,92.4,0.86767578125,1.4970703125,1.5458984375,800.0445,45.0,33426329600,28265418752,15.4,8589930496,8589930496,0.0,3405347840,1968804864,821555924,27431370
5.2,2.8,91.9,0.7978515625,1.47216796875,1.537109375,750.033,44.0,33426329600,28266139648,15.4,8589930496,8589930496,0.0,3405347840,1969411072,821557250,27435077
5.7,1.8,92.5,0.7978515625,1.47216796875,1.537109375,800.1205,45.0,33426329600,28249616384,15.5,8589930496,8589930496,0.0,3405347840,1969411072,822634832,27457070
5.5,2.3,92.2,1.0546875,1.51416015625,1.55078125,800.03075,44.0,33426329600,28239458304,15.5,8589930496,8589930496,0.0,3405347840,1971352576,822636140,27463521
5.4,2.5,92.0,0.97021484375,1.48876953125,1.5419921875,1501.3692500000002,46.0,33426329600,28255383552,15.5,8589930496,8589930496,0.0,3405347840,1971463168,822637093,27466751
4.8,2.2,92.9,0.97021484375,1.48876953125,1.5419921875,750.101375,44.0,33426329600,28262899712,15.4,8589930496,8589930496,0.0,3405347840,1972061184,823708819,27485230
5.3,2.7,91.8,0.89208984375,1.4638671875,1.53369140625,800.0073750000001,44.0,33426329600,28261269504,15.5,8589930496,8589930496,0.0,3405347840,1979302912,823713810,27494183
5.1,2.2,92.4,0.89208984375,1.4638671875,1.53369140625,800.0718750000001,44.0,33426329600,28265021440,15.4,8589930496,8589930496,0.0,3405347840,1979462656,823714857,27497593
7.1,2.2,90.4,0.90087890625,1.4560546875,1.53076171875,750.1051249999999,44.0,33426329600,28264566784,15.4,8589930496,8589930496,0.0,3405347840,1979462656,824783498,27515790
6.0,2.7,91.2,0.82861328125,1.431640625,1.5224609375,750.1581249999999,46.0,33426329600,28249772032,15.5,8589930496,8589930496,0.0,3405347840,1979905024,824791497,27523006
7.4,2.3,90.3,0.82861328125,1.431640625,1.5224609375,800.078875,43.0,33426329600,28267061248,15.4,8589930496,8589930496,0.0,3405347840,1980777472,824800568,27529945
5.8,2.5,91.5,0.76220703125,1.40771484375,1.51416015625,800.0572500000001,44.0,33426329600,28280811520,15.4,8589930496,8589930496,0.0,3405347840,1980994560,824804100,27533394
7.5,2.0,90.5,0.76220703125,1.40771484375,1.51416015625,800.0501250000001,44.0,33426329600,28265328640,15.4,8589930496,8589930496,0.0,3405347840,1980994560,825877048,27557577
5.5,2.0,92.2,1.021484375,1.451171875,1.52783203125,800.0215,44.0,33426329600,28284366848,15.4,8589930496,8589930496,0.0,3405347840,1981707264,825880214,27566009
5.3,2.7,91.9,0.939453125,1.4267578125,1.51953125,800.12475,44.0,33426329600,28307849216,15.3,8589930496,8589930496,0.0,3405347840,1981707264,825886497,27570172
5.3,2.0,92.5,0.939453125,1.4267578125,1.51953125,799.999375,44.0,33426329600,28289904640,15.4,8589930496,8589930496,0.0,3405347840,1984488448,826959378,27591810
5.0,2.2,92.7,0.86376953125,1.40283203125,1.51123046875,800.0868750000001,44.0,33426329600,28301815808,15.3,8589930496,8589930496,0.0,3405347840,1984488448,826961877,27599452
4.7,1.9,93.3,0.79443359375,1.37939453125,1.5029296875,800.087,43.0,33426329600,28291448832,15.4,8589930496,8589930496,0.0,3405347840,1984930816,826965533,27602807
5.1,2.3,92.4,0.79443359375,1.37939453125,1.5029296875,800.036625,44.0,33426329600,28294963200,15.4,8589930496,8589930496,0.0,3405347840,1985098752,828045001,27622455
5.3,2.4,92.2,0.81103515625,1.373046875,1.5,800.161375,43.0,33426329600,28270804992,15.4,8589930496,8589930496,0.0,3405347840,1985102848,828049372,27631648
4.3,2.4,93.1,0.81103515625,1.373046875,1.5,800.0372499999999,43.0,33426329600,28288282624,15.4,8589930496,8589930496,0.0,3405347840,1989018624,828050669,27634846
